pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
A0000001,中華民國憲法,憲法,19470101,,
A0000002,中華民國憲法增修條文,憲法,20050610,,
A0000003,憲法實施之準備程序,憲法,19470101,,
A0000004,訓政結束程序法,憲法,19471225,,
A0000005,動員戡亂時期臨時條款,"廢止法規,憲法",19910501,,true
A0000006,動員戡亂完成憲政實施綱要,"廢止法規,院本部",19910517,,true
A0000007,戒嚴時期人民受損權利回復條例,"行政,法務部,法制目",20000202,,
A0000008,戒嚴時期人民受損權利回復條例施行細則,"行政,法務部,法制目",19960214,,
A0000009,中華民國領海及鄰接區法,"行政,內政部,地政目",19980121,,
A0000010,中華民國專屬經濟海域及大陸礁層法,"行政,內政部,地政目",20231227,,
A0000012,民國八十八年九月二十五日總統緊急命令（九二一震災）,憲法,19990925,,
A0000015,全國戒嚴令,憲法,19490707,,
A0000016,臺灣地區解嚴令,憲法,19870714,,
A0000017,宣告動員戡亂時期終止,憲法,19910430,,
A0010001,國民大會組織法,國民大會（憲法國民大會章條文已停止適用）,20050527,,
A0010002,國民大會代表資格審查委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19920402,,
A0010003,國民大會提案審查委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19920402,,
A0010004,國民大會紀律委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19960709,,
A0010005,國民大會秘書處組織規程,國民大會（憲法國民大會章條文已停止適用）,19780318,,
A0010006,國民大會特種審查委員會設置辦法,國民大會（憲法國民大會章條文已停止適用）,19910411,,
A0010007,國民大會宣言起草委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19900303,,
A0010008,國民大會程序委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19980728,,
A0010009,國民大會修憲審查委員會組織規程,國民大會（憲法國民大會章條文已停止適用）,19990615,,
A0010010,國民大會憲政改革研究小組設置辦法,國民大會（憲法國民大會章條文已停止適用）,19970722,,
A0010011,國民大會法規研修專案小組設置辦法,國民大會（憲法國民大會章條文已停止適用）,19990616,,
A0010012,中華民國總統府組織法,"總統,總統府,組織目",20100901,,
A0010013,國策顧問委員會組織條例,"廢止法規,總統府",19970507,,true
A0010014,戰略顧問委員會組織條例,"廢止法規,總統府",19970507,,true
A0010015,稽勳委員會組織條例,"廢止法規,總統府",19970507,,true
A0010016,中央研究院組織法,"總統,總統府,組織目",20140115,,
A0010017,國史館組織條例,"總統,總統府,組織目",20011024,,
A0010018,國父陵園管理委員會組織條例,"總統,總統府,組織目",19460702,,
A0010019,中央研究院研究所組織規程,"總統,總統府,組織目",20200513,,
A0010020,國史館史料審查委員會組織規程,"廢止法規,總統府",20180214,,true
A0010021,國家安全會議組織法,"總統,國家安全會議,組織目",20030625,,
A0010022,國家安全局組織法,"總統,國家安全會議,組織目",20200115,,
A0010023,國家安全會議組織綱要,"廢止法規,國家安全會議",20031112,,true
A0010024,國家安全會議訴願審議委員會組織規程,"總統,國家安全會議,組織目",20020904,,
A0010025,國家安全局特種勤務實施辦法,"總統,國家安全會議,特種勤務目",20121115,,
A0010026,國史館臺灣文獻館組織條例,"總統,總統府,組織目",20011024,,
A0010027,總統府及所屬機關訴願審議委員會組織規程,"總統,總統府,組織目",20011205,,
A0010028,國家人權紀念館籌備處暫行組織規程,"廢止法規,總統府",20040213,,true
A0010029,國家安全情報工作統合辦法,"總統,國家安全會議,情報工作目",20031114,,
A0010030,三一九槍擊事件真相調查特別委員會條例,立法,20060501,,
A0010031,中央研究院研究中心組織規程,"總統,總統府,組織目",20160518,,
A0010032,行政院組織法,"行政,院本部,組織目",20230426,,
A0010033,行政院各部會副首長會議設置辦法,"廢止法規,院本部",20010711,,true
A0010034,行政院法規委員會組織規程,"廢止法規,院本部",20111230,,true
A0010035,北美事務協調委員會組織規程,"廢止法規,外交部",20130118,,true
A0010036,中央行政機關組織基準法,"行政,行政院人事行政總處,組織目",20220119,,
A0010037,行政院公共工程委員會組織條例,"行政,行政院公共工程委員會,組織目",19950710,,
A0010038,行政院公共工程委員會法規委員會組織規程,"行政,行政院公共工程委員會,組織目",20200226,,
A0010039,行政院經濟建設委員會組織條例,"廢止法規,國家發展委員會",20150520,,true
A0010040,行政院九二一震災災後重建推動委員會暫行組織規程,"廢止法規,行政院研究發展考核委員會",20110601,,true
A0010041,行政院研究發展考核委員會法規委員會組織規程,"廢止法規,行政院研究發展考核委員會",20140120,,true
A0010042,檔案管理局組織條例,"廢止法規,國家發展委員會",20150520,,true
A0010043,立法院各委員會組織法,立法,20090123,,
A0010044,立法院組織法,立法,20231227,,
A0010045,立法院紀律委員會組織規程,立法,20090113,,
A0010046,立法院程序委員會組織規程,立法,20231212,,
A0010047,立法院經費稽核委員會組織規程,立法,20090113,,
A0010048,立法院公報指導委員會組織規程,"廢止法規,立法",20010227,,true
A0010049,立法院修憲委員會組織規程,立法,20071207,,
A0010050,立法院政黨黨團辦公室設置辦法,立法,20111007,,
A0010051,司法院組織法,"司法,院本部,組織目",20220119,,
A0010052,司法院法規研究委員會組織規程,"廢止法規,院本部",20170920,,true
A0010053,法院組織法,"司法,院本部,組織目",20220622,,
A0010054,最高法院設置分庭條例,"司法,院本部,組織目",19430720,,
A0010055,行政法院組織法,"司法,院本部,組織目",20220622,,
A0010056,懲戒法院組織法,"司法,院本部,組織目",20200610,,
A0010057,司法院所屬各機關統計室組織及辦事細則,"廢止法規,院本部",20110516,,true
A0010058,法官學院組織法,"司法,院本部,組織目",20130522,,
A0010059,司法院司法人員研習所處務規程,"廢止法規,院本部",20131017,,true
A0010060,最高行政法院處務規程,"司法,院本部,組織目",20190702,,
A0010061,高等行政法院處務規程,"司法,院本部,組織目",20230731,,
A0010062,司法院及所屬機關訴願審議委員會組織規程,"司法,院本部,組織目",20070928,,
A0010063,考試院組織法,"考試,院本部,組織目  ",20230426,,
A0010064,考銓處組織條例,"廢止法規,院本部",20230503,,true
A0010065,考試院訴願審議委員會組織規程,"廢止法規,院本部",19931221,,true
A0010066,考試院及所屬機關訴願審議委員會組織規程,"考試,院本部,組織目  ",20000629,,
A0010067,考試院法規委員會組織規程,"考試,院本部,組織目  ",20230606,,
A0010068,考試院研究發展委員會組織規程,"廢止法規,院本部",20220125,,true
A0010069,考試院研究考選銓敘制度獎勵辦法,"廢止法規,院本部",20040430,,true
A0010070,考試院會議規則,"考試,院本部,組織目  ",20230608,,
A0010071,監察院組織法,"監察,院本部,組織目",20200108,,
A0010072,監察院各委員會組織法,"監察,院本部,組織目",20210512,,
A0010073,監察院監察委員行署組織條例,"廢止法規,院本部",20230503,,true
A0010074,監察院法規研究委員會設置辦法,"監察,院本部,組織目",20200805,,
A0010075,監察院諮詢委員會設置辦法,"監察,院本部,組織目",20180530,,
A0010076,監察院訴願審議委員會組織規程,"監察,院本部,組織目",20210708,,
A0010077,監察院廉政委員會設置辦法,"監察,院本部,組織目",20210709,,
A0010078,監察院監察委員紀律委員會設置辦法,"監察,院本部,組織目",20210708,,
A0010079,監察院人權保障委員會設置辦法,"廢止法規,院本部",20200730,,true
A0010080,臺灣省政府委員會議事規則,"廢止法規,內政部",19960925,,true
A0010081,臺灣省諮議會組織規程,"行政,臺灣省政府,組織目",20131004,,
A0010082,臺灣省政府暫行組織規程,"廢止法規,內政部",20051231,,true
A0010083,臺北市各級組織及實施地方自治綱要,"廢止法規,內政部",20010613,,true
A0010084,高雄市各級組織及實施地方自治綱要,"廢止法規,內政部",20010613,,true
A0010085,福建省政府暫行組織規程,"廢止法規,內政部",19960619,,true
A0010086,福建省金門縣政府組織規程,"廢止法規,國防部",19930127,,true
A0010088,福建省政府組織規程,"行政,內政部,組織目",20090324,,
A0010089,國家安全會議秘書處組織規程,"廢止法規,國家安全會議",20061030,,true
A0010090,智慧財產及商業法院組織法,"司法,院本部,組織目",20230426,,
A0010091,行政院功能業務與組織調整條例,"行政,行政院人事行政總處,組織目",20211229,,
A0010092,高雄市政府組織規程,"廢止法規,院本部",20120418,,true
A0010093,高雄市議會組織規程,"廢止法規,院本部",20110314,,true
A0010094,臺中市政府組織規程,"廢止法規,院本部",20110608,,true
A0010095,臺中市議會組織規程,"廢止法規,院本部",20110311,,true
A0010096,臺南市政府組織規程,"廢止法規,院本部",20110720,,true
A0010097,臺南市議會組織規程,"廢止法規,院本部",20110613,,true
A0010098,新北市政府組織規程,"廢止法規,院本部",20120131,,true
A0010099,新北市議會組織規程,"廢止法規,院本部",20110316,,true
A0010100,少年及家事法院組織法,"司法,院本部,組織目",20220622,,
A0010101,總統府法規委員會組織規程,"總統,總統府,組織目",20101213,,
A0010102,行政法人法,"行政,行政院人事行政總處,綜合規劃目",20110427,,
A0010103,國家安全會議處務規程,"總統,國家安全會議,組織目",20040811,,
A0010104,公務員懲戒委員會辦事細則,"廢止法規,院本部",20110825,,true
A0010105,法官評鑑委員會組織規程,"司法,院本部,組織目",20200306,,
A0010106,國家發展委員會組織法,"行政,國家發展委員會,組織目",20220119,,
A0010107,國家發展委員會檔案管理局組織法,"行政,國家發展委員會,組織目",20130821,,
A0010108,桃園市政府組織規程,"廢止法規,院本部",20150309,,true
A0010109,桃園市議會組織規程,"廢止法規,院本部",20150409,,true
A0010110,國家發展委員會編制表,"行政,國家發展委員會,組織目",20221110,,
A0010111,國家發展委員會檔案管理局編制表,"行政,國家發展委員會,組織目",20181205,,
A0010112,中央研究院編制表,"總統,總統府,組織目",20230725,,
A0010113,行政院編制表,"行政,院本部,組織目",20220825,,
A0010114,臺灣省諮議會編制表,"行政,臺灣省政府,組織目",20131004,,
A0010115,不當黨產處理委員會組織規程,"行政,不當黨產處理委員會,組織目",20160812,,
